,ชื่อย่อหลักทรัพย์,ชื่อเต็มหลักทรัพย์จดทะเบียน,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,Factsheet
52,FTREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์เพื่ออุตสาหกรรม เฟรเซอร์ส พร็อพเพอร์ตี้,SET,PROPCON,PF&REIT,
53,FUTUREPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ฟิวเจอร์พาร์ค,SET,PROPCON,PF&REIT,
54,FVC,บริษัท ฟิลเตอร์ วิชั่น จำกัด (มหาชน),mai,SERVICE,-,
55,GAHREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ แกรนด์ โฮสพีทาลิตี้,SET,PROPCON,PF&REIT,
56,GBX,บริษัท โกลเบล็ก โฮลดิ้ง แมนเนจเม้นท์ จำกัด (มหาชน),SET,FINCIAL,FIN,
57,GC,บริษัท โกลบอล คอนเน็คชั่นส์ จำกัด (มหาชน),SET,INDUS,PETRO,
58,GCAP,บริษัท จี แคปปิตอล จำกัด (มหาชน),mai,FINCIAL,-,
59,GEL,บริษัท เจนเนอรัล เอนจิเนียริ่ง จำกัด (มหาชน),SET,PROPCON,CONMAT,
60,GENCO,บริษัทบริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด(มหาชน),SET,SERVICE,PROF,
61,GFPT,บริษัท จีเอฟพีที จำกัด (มหาชน),SET,AGRO,AGRI,
62,GGC,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),SET,INDUS,PETRO,
63,GIFT,บริษัท แกรททิทูด อินฟินิท จำกัด (มหาชน),SET,INDUS,PETRO,
64,GJS,บริษัท จี เจ สตีล จำกัด (มหาชน),SET,INDUS,STEEL,
65,GL,บริษัท กรุ๊ปลีส จำกัด (มหาชน),SET,FINCIAL,FIN,
66,GLAND,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน),SET,PROPCON,PROP,
67,GLOBAL,บริษัท สยามโกลบอลเฮ้าส์ จำกัด (มหาชน),SET,SERVICE,COMM,
68,GLOCON,บริษัท โกลบอล คอนซูเมอร์ จำกัด (มหาชน),SET,AGRO,FOOD,
69,GLORY,บริษัท รุ่งเรืองตลอดไป จำกัด (มหาชน),mai,SERVICE,-,
70,GPI,บริษัท กรังด์ปรีซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,SERVICE,MEDIA,
71,GPSC,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),SET,RESOURC,ENERG,
72,GRAMMY,บริษัท จีเอ็มเอ็ม แกรมมี่ จำกัด (มหาชน),SET,SERVICE,MEDIA,
73,GRAND,บริษัท แกรนด์ แอสเสท โฮเทลส์ แอนด์ พรอพเพอร์ตี้ จำกัด(มหาชน),SET,SERVICE,TOURISM,
74,GREEN,บริษัท กรีน รีซอร์สเซส จำกัด (มหาชน),SET,RESOURC,ENERG,
