,ชื่อย่อหลักทรัพย์,ชื่อเต็มหลักทรัพย์จดทะเบียน,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,Factsheet
21,SENA,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP,
22,SENAJ,บริษัท เสนา เจ พร็อพเพอร์ตี้ จำกัด (มหาชน),mai,PROPCON,-,
23,SFLEX,บริษัท สตาร์เฟล็กซ์ จำกัด (มหาชน),SET,INDUS,PKG,
24,SFP,บริษัท อาหารสยาม จำกัด(มหาชน),SET,AGRO,FOOD,
25,SFT,บริษัท ชริ้งเฟล็กซ์ (ประเทศไทย) จำกัด (มหาชน),mai,INDUS,-,
26,SGC,บริษัท เอสจี แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN,
27,SGF,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),mai,FINCIAL,-,
28,SGP,บริษัท สยามแก๊ส แอนด์ ปิโตรเคมีคัลส์ จำกัด (มหาชน),SET,RESOURC,ENERG,
29,SHANG,บริษัท แชงกรี-ลา โฮเต็ล จำกัด (มหาชน),SET,SERVICE,TOURISM,
30,SHR,บริษัท เอส โฮเทล แอนด์ รีสอร์ท จำกัด (มหาชน),SET,SERVICE,TOURISM,
31,SHREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์แบบต่ออายุได้เพื่อธุรกิจโรงแรมและสิทธิการเช่าสตราทีจิก ฮอสพิทอลลิตี้,SET,PROPCON,PF&REIT,
32,SIAM,บริษัท สยามสตีลอินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,CONSUMP,HOME,
33,SICT,บริษัท ซิลิคอน คราฟท์ เทคโนโลยี จำกัด (มหาชน),mai,TECH,-,
34,SIMAT,บริษัท ไซแมท เทคโนโลยี จำกัด (มหาชน),mai,TECH,-,
35,SINGER,บริษัท ซิงเกอร์ประเทศไทย จำกัด (มหาชน),SET,SERVICE,COMM,
36,SIRI,บริษัท แสนสิริ จำกัด (มหาชน),SET,PROPCON,PROP,
37,SIRIP,กองทุนรวมอสังหาริมทรัพย์แสนสิริ ไพร์มออฟฟิศ,SET,PROPCON,PF&REIT,
38,SIS,บริษัท เอสไอเอส ดิสทริบิวชั่น (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ICT,
39,SISB,บริษัท เอสไอเอสบี จำกัด (มหาชน),SET,SERVICE,PROF,
40,SITHAI,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),SET,INDUS,PKG,
41,SK,บริษัท ศิรกร จำกัด (มหาชน),mai,PROPCON,-,
42,SKE,บริษัท สากล เอนเนอยี จำกัด (มหาชน),SET,RESOURC,ENERG,
43,SKN,บริษัท ส.กิจชัย เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,PROPCON,CONMAT,
44,SKR,บริษัท ศิครินทร์ จำกัด (มหาชน),SET,SERVICE,HELTH,
45,SKY,บริษัท สกาย ไอซีที จำกัด (มหาชน),SET,TECH,ICT,
46,SLM,บริษัท เอส แอล เอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,-,
47,SLP,บริษัท สาลี่ พริ้นท์ติ้ง จำกัด (มหาชน),SET,INDUS,PKG,
48,SM,บริษัท สตาร์ มันนี่ จำกัด (มหาชน),SET,FINCIAL,FIN,
49,SMART,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน),mai,PROPCON,-,
50,SMD,บริษัท เซนต์เมด จำกัด (มหาชน),mai,CONSUMP,-,
51,SMIT,บริษัท สหมิตรเครื่องกล จำกัด (มหาชน),SET,INDUS,STEEL,
52,SMK,บริษัท สินมั่นคงประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR,
53,SMPC,บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน),SET,INDUS,PKG,
54,SMT,บริษัท สตาร์ส ไมโครอิเล็กทรอนิกส์ (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ETRON,
55,SNC,บริษัท เอส เอ็น ซี ฟอร์เมอร์ จำกัด (มหาชน),SET,INDUS,IMM,
56,SNNP,บริษัท ศรีนานาพร มาร์เก็ตติ้ง จำกัด (มหาชน),SET,AGRO,FOOD,
57,SNP,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด (มหาชน),SET,AGRO,FOOD,
58,SO,บริษัท สยามราชธานี จำกัด (มหาชน),SET,SERVICE,PROF,
59,SOLAR,บริษัท โซลาร์ตรอน จำกัด (มหาชน),SET,RESOURC,ENERG,
60,SONIC,บริษัท โซนิค อินเตอร์เฟรท จำกัด (มหาชน),mai,SERVICE,-,
61,SORKON,บริษัท ส. ขอนแก่นฟู้ดส์ จำกัด (มหาชน),SET,AGRO,FOOD,
62,SPA,บริษัท สยามเวลเนสกรุ๊ป จำกัด (มหาชน),mai,SERVICE,-,
63,SPACK,บริษัท เอส. แพ็ค แอนด์ พริ้นท์ จำกัด (มหาชน),SET,INDUS,PKG,
64,SPALI,บริษัท ศุภาลัย จำกัด (มหาชน),SET,PROPCON,PROP,
65,SPC,บริษัท สหพัฒนพิบูล จำกัด (มหาชน),SET,SERVICE,COMM,
66,SPCG,บริษัท เอสพีซีจี จำกัด (มหาชน),SET,RESOURC,ENERG,
67,SPG,บริษัท สยามภัณฑ์กรุ๊ป จำกัด (มหาชน),SET,INDUS,AUTO,
68,SPI,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),SET,SERVICE,COMM,
69,SPRC,บริษัท สตาร์ ปิโตรเลียม รีไฟน์นิ่ง จำกัด (มหาชน),SET,RESOURC,ENERG,
70,SPRIME,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ เอส ไพรม์ โกรท,SET,PROPCON,PF&REIT,
71,SPVI,บริษัท เอส พี วี ไอ จำกัด (มหาชน),mai,TECH,-,
72,SQ,บริษัท สหกลอิควิปเมนท์ จำกัด (มหาชน),SET,PROPCON,CONS,
73,SR,บริษัท สยามราช จำกัด (มหาชน),mai,RESOURC,-,
74,SRICHA,บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน),SET,PROPCON,CONS,
75,SRIPANWA,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์โรงแรมศรีพันวา,SET,PROPCON,PF&REIT,
76,SSC,บริษัท เสริมสุข จำกัด (มหาชน),SET,AGRO,FOOD,
77,SSF,บริษัท สุรพลฟู้ดส์ จำกัด (มหาชน),SET,AGRO,FOOD,
78,SSP,บริษัท เสริมสร้าง พาวเวอร์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG,
79,SSPF,กองทุนรวมอสังหาริมทรัพย์ศาลาแอทสาทร,SET,PROPCON,PF&REIT,
80,SSS,บริษัท สตาร์ สิทธิ โซลูชั่น จำกัด (มหาชน),mai,PROPCON,-,
81,SSSC,บริษัท ศูนย์บริการเหล็กสยาม จำกัด (มหาชน),SET,INDUS,STEEL,
82,SST,บริษัท ทรัพย์ศรีไทย จำกัด (มหาชน),SET,AGRO,FOOD,
83,SSTRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ทรัพย์ศรีไทย,SET,PROPCON,PF&REIT,
84,STA,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),SET,AGRO,AGRI,
85,STANLY,บริษัท ไทยสแตนเลย์การไฟฟ้า จำกัด (มหาชน),SET,INDUS,AUTO,
86,STARK,บริษัท สตาร์ค คอร์เปอเรชั่น จำกัด (มหาชน),SET,INDUS,IMM,
87,STC,บริษัท เอสทีซี คอนกรีตโปรดัคท์ จำกัด (มหาชน),mai,PROPCON,-,
88,STEC,บริษัท ซิโน-ไทย เอ็นจีเนียริ่งแอนด์คอนสตรัคชั่น จำกัด(มหาชน),SET,PROPCON,CONS,
89,STECH,บริษัท สยามเทคนิคคอนกรีต จำกัด (มหาชน),SET,PROPCON,CONMAT,
90,STGT,บริษัท ศรีตรังโกลฟส์ (ประเทศไทย) จำกัด (มหาชน),SET,CONSUMP,PERSON,
91,STHAI,บริษัท ซันไทยอุตสาหกรรมถุงมือยาง จำกัด (มหาชน),SET,CONSUMP,PERSON,
92,STI,บริษัท สโตนเฮ้นจ์ อินเตอร์ จำกัด (มหาชน),SET,PROPCON,CONS,
93,STOWER,บริษัท สกาย ทาวเวอร์ จำกัด (มหาชน),mai,RESOURC,-,
94,STP,บริษัท สหไทยการพิมพ์และบรรจุภัณฑ์ จำกัด (มหาชน),mai,INDUS,-,
95,STPI,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน),SET,PROPCON,CONS,
96,SUC,บริษัท สหยูเนี่ยน จำกัด (มหาชน),SET,CONSUMP,FASHION,
97,SUN,บริษัท ซันสวีท จำกัด (มหาชน),SET,AGRO,FOOD,
98,SUPER,บริษัท ซุปเปอร์ เอนเนอร์ยี คอร์เปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG,
99,SUPEREIF,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้า ซุปเปอร์ เอนเนอร์ยี,SET,RESOURC,ENERG,
0,SUSCO,บริษัท ซัสโก้ จำกัด (มหาชน),SET,RESOURC,ENERG,
1,SUTHA,บริษัท สุธากัญจน์ จำกัด (มหาชน),SET,INDUS,PETRO,
2,SVI,บริษัท เอสวีไอ จำกัด (มหาชน),SET,TECH,ETRON,
3,SVOA,บริษัท เอสวีโอเอ จำกัด (มหาชน),SET,TECH,ICT,
4,SVT,บริษัท ซันเวนดิ้ง เทคโนโลยี จำกัด (มหาชน),SET,SERVICE,COMM,
5,SWC,บริษัท เชอร์วู้ด คอร์ปอเรชั่น (ประเทศไทย) จำกัด (มหาชน),mai,INDUS,-,
6,SYMC,บริษัท ซิมโฟนี่ คอมมูนิเคชั่น จำกัด (มหาชน),SET,TECH,ICT,
7,SYNEX,บริษัท ซินเน็ค (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ICT,
8,SYNTEC,บริษัท ซินเท็ค คอนสตรัคชั่น จำกัด (มหาชน),SET,PROPCON,CONS,
9,TACC,บริษัท ที.เอ.ซี. คอนซูเมอร์ จำกัด (มหาชน),mai,AGRO,-,
10,TAE,บริษัท ไทย อะโกร เอ็นเนอร์ยี่ จำกัด (มหาชน),SET,RESOURC,ENERG,
11,TAKUNI,บริษัท ทาคูนิ กรุ๊ป จำกัด (มหาชน),mai,RESOURC,-,
12,TAPAC,บริษัท ทาพาโก้ จำกัด (มหาชน),mai,PROPCON,-,
13,TASCO,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),SET,PROPCON,CONMAT,
14,TC,บริษัท ทรอปิคอลแคนนิ่ง (ประเทศไทย) จำกัด (มหาชน),SET,AGRO,FOOD,
15,TCAP,บริษัท ทุนธนชาต จำกัด (มหาชน),SET,FINCIAL,BANK,
16,TCC,บริษัท ไทย แคปปิตอล คอร์ปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG,
17,TCCC,บริษัท ไทยเซ็นทรัลเคมี จำกัด (มหาชน),SET,INDUS,PETRO,
18,TCJ,บริษัท ที.ซี.เจ.เอเซีย จำกัด (มหาชน),SET,INDUS,IMM,
19,TCMC,บริษัท ทีซีเอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),SET,CONSUMP,HOME,
20,TCOAT,บริษัท อุตสาหกรรมผ้าเคลือบพลาสติกไทย จำกัด (มหาชน),SET,INDUS,PKG,
21,TEAM,บริษัท ทีมพรีซิชั่น จำกัด (มหาชน),SET,TECH,ETRON,
22,TEAMG,บริษัท ทีม คอนซัลติ้ง เอนจิเนียริ่ง แอนด์ แมเนจเมนท์ จำกัด (มหาชน),SET,PROPCON,CONS,
23,TEGH,บริษัท ไทยอีสเทิร์น กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,AGRO,AGRI,
24,TEKA,บริษัท ฑีฆาก่อสร้าง จำกัด (มหาชน),SET,PROPCON,CONS,
25,TFFIF,กองทุนรวมโครงสร้างพื้นฐานเพื่ออนาคตประเทศไทย,SET,SERVICE,TRANS,
26,TFG,บริษัท ไทยฟู้ดส์ กรุ๊ป จำกัด (มหาชน),SET,AGRO,FOOD,
27,TFI,บริษัท ไทยฟิล์มอินดัสตรี่ จำกัด (มหาชน),SET,INDUS,PKG,
28,TFM,บริษัท ไทยยูเนี่ยน ฟีดมิลล์ จำกัด (มหาชน),SET,AGRO,AGRI,
29,TFMAMA,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),SET,AGRO,FOOD,
30,TGE,บริษัท ท่าฉาง กรีน เอ็นเนอร์ยี่ จำกัด (มหาชน),SET,RESOURC,ENERG,
31,TGH,บริษัท ไทยกรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,FINCIAL,INSUR,
32,TGPRO,บริษัท ไทย-เยอรมัน โปรดักส์ จำกัด (มหาชน),SET,INDUS,STEEL,
33,TH,บริษัท ตงฮั้ว โฮลดิ้ง จำกัด (มหาชน),SET,FINCIAL,FIN,
34,THAI,บริษัท การบินไทย จำกัด (มหาชน),SET,SERVICE,TRANS,
35,THANA,บริษัท ธนาสิริ กรุ๊ป จำกัด (มหาชน),mai,PROPCON,-,
36,THANI,บริษัท ราชธานีลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN,
37,THCOM,บริษัท ไทยคม จำกัด (มหาชน),SET,TECH,ICT,
38,THE,บริษัท เดอะ สตีล จำกัด (มหาชน),SET,INDUS,STEEL,
39,THG,บริษัท ธนบุรี เฮลท์แคร์ กรุ๊ป จำกัด (มหาชน),SET,SERVICE,HELTH,
40,THIP,บริษัท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),SET,INDUS,PKG,
41,THL,บริษัท ทุ่งคาฮาเบอร์ จำกัด (มหาชน),SET,RESOURC,MINE,
42,THMUI,บริษัท ไทยมุ้ย คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,-,
43,THRE,บริษัท ไทยรับประกันภัยต่อ จำกัด (มหาชน),SET,FINCIAL,INSUR,
44,THREL,บริษัท ไทยรีประกันชีวิต จำกัด (มหาชน),SET,FINCIAL,INSUR,
45,TIDLOR,บริษัท เงินติดล้อ จำกัด (มหาชน),SET,FINCIAL,FIN,
46,TIF1,กองทุนรวมอสังหาริมทรัพย์ไทยอินดัสเตรียล 1,SET,PROPCON,PF&REIT,
47,TIGER,บริษัท ไทย อิงเกอร์ โฮลดิ้ง จำกัด (มหาชน),mai,PROPCON,-,
48,TIPCO,บริษัท ทิปโก้ฟูดส์ จำกัด (มหาชน),SET,AGRO,FOOD,
49,TIPH,บริษัท ทิพย กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,FINCIAL,INSUR,
50,TISCO,บริษัท ทิสโก้ไฟแนนเชียลกรุ๊ป จำกัด (มหาชน),SET,FINCIAL,BANK,
51,TITLE,บริษัท ร่มโพธิ์ พร็อพเพอร์ตี้ จำกัด (มหาชน),mai,PROPCON,-,
52,TK,บริษัท ฐิติกร จำกัด (มหาชน),SET,FINCIAL,FIN,
53,TKC,บริษัท เทิร์นคีย์ คอมมูนิเคชั่น เซอร์วิส จำกัด (มหาชน),SET,TECH,ICT,
54,TKN,บริษัท เถ้าแก่น้อย ฟู๊ดแอนด์มาร์เก็ตติ้ง จำกัด (มหาชน),SET,AGRO,FOOD,
55,TKS,บริษัท ที.เค.เอส. เทคโนโลยี จำกัด (มหาชน),SET,SERVICE,MEDIA,
56,TKT,บริษัท ที.กรุงไทยอุตสาหกรรม จำกัด (มหาชน),SET,INDUS,AUTO,
57,TLHPF,กองทุนรวมอสังหาริมทรัพย์ ไทยแลนด์ โฮสพีทาลิตี้,SET,PROPCON,PF&REIT,
58,TLI,บริษัท ไทยประกันชีวิต จำกัด (มหาชน),SET,FINCIAL,INSUR,
59,TM,บริษัท เทคโนเมดิคัล จำกัด (มหาชน),mai,CONSUMP,-,
60,TMC,บริษัท ที.เอ็ม.ซี. อุตสาหกรรม จำกัด (มหาชน),mai,INDUS,-,
61,TMD,บริษัท อุตสาหกรรมถังโลหะไทย จำกัด (มหาชน),SET,INDUS,PKG,
62,TMI,บริษัท ธีระมงคล อุตสาหกรรม จำกัด (มหาชน),mai,INDUS,-,
63,TMILL,บริษัท ที เอส ฟลาวมิลล์ จำกัด (มหาชน),mai,AGRO,-,
64,TMT,บริษัท ทีเอ็มที สตีล จำกัด (มหาชน),SET,INDUS,STEEL,
65,TMW,บริษัท ไทยมิตซูวา จำกัด (มหาชน),mai,INDUS,-,
66,TNDT,บริษัท ไทย เอ็น ดี ที จำกัด (มหาชน),mai,SERVICE,-,
67,TNH,บริษัท โรงพยาบาลไทยนครินทร์ จำกัด (มหาชน),mai,SERVICE,-,
68,TNITY,บริษัท ทรีนีตี้ วัฒนา จำกัด (มหาชน),SET,FINCIAL,FIN,
69,TNL,บริษัท ธนูลักษณ์ จำกัด (มหาชน),SET,CONSUMP,FASHION,
70,TNP,บริษัท ธนพิริยะ จำกัด (มหาชน),mai,SERVICE,-,
71,TNPC,บริษัท ไทยนามพลาสติกส์ จำกัด (มหาชน),SET,INDUS,AUTO,
72,TNPF,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าตรีนิตี้,SET,PROPCON,PF&REIT,
73,TNR,บริษัท ไทยนิปปอนรับเบอร์อินดัสตรี้ จำกัด (มหาชน),SET,CONSUMP,PERSON,
74,TOA,บริษัท ทีโอเอ เพ้นท์ (ประเทศไทย) จำกัด (มหาชน),SET,PROPCON,CONMAT,
75,TOG,บริษัท ไทยออพติคอล กรุ๊ป จำกัด (มหาชน),SET,CONSUMP,PERSON,
76,TOP,บริษัท ไทยออยล์ จำกัด (มหาชน),SET,RESOURC,ENERG,
77,TOPP,บริษัท ไทย โอ.พี.พี. จำกัด (มหาชน),SET,INDUS,PKG,
78,TPA,บริษัท ไทยโพลีอะคริลิค จำกัด (มหาชน),SET,INDUS,PETRO,
79,TPAC,บริษัท พลาสติค และหีบห่อไทย จำกัด (มหาชน),SET,INDUS,PKG,
80,TPBI,บริษัท ทีพีบีไอ จำกัด (มหาชน),SET,INDUS,PKG,
81,TPCH,บริษัท ทีพีซี เพาเวอร์โฮลดิ้ง จำกัด (มหาชน),mai,RESOURC,-,
82,TPCS,บริษัท ทีพีซีเอส จำกัด (มหาชน),SET,INDUS,IMM,
83,TPIPL,บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),SET,PROPCON,CONMAT,
84,TPIPP,บริษัท ทีพีไอ โพลีน เพาเวอร์ จำกัด (มหาชน),SET,RESOURC,ENERG,
85,TPLAS,บริษัท ไทยอุตสาหกรรมพลาสติก (1994) จำกัด (มหาชน),mai,INDUS,-,
86,TPOLY,บริษัท ไทยโพลีคอนส์ จำกัด (มหาชน),SET,PROPCON,CONS,
87,TPP,บริษัท ไทยบรรจุภัณฑ์และการพิมพ์ จำกัด (มหาชน),SET,INDUS,PKG,
88,TPRIME,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าไทยแลนด์ ไพร์ม พร็อพเพอร์ตี้,SET,PROPCON,PF&REIT,
89,TPS,บริษัท เดอะแพรคทิเคิลโซลูชั่น จำกัด (มหาชน),mai,TECH,-,
90,TQM,บริษัท ทีคิวเอ็ม อัลฟา จำกัด (มหาชน),SET,FINCIAL,INSUR,
91,TQR,บริษัท ที คิว อาร์ จำกัด (มหาชน),mai,FINCIAL,-,
92,TR,บริษัท ไทยเรยอน จำกัด (มหาชน),SET,CONSUMP,FASHION,
93,TRC,บริษัท ทีอาร์ซี คอนสตรัคชั่น จำกัด (มหาชน),SET,PROPCON,CONS,
94,TRITN,บริษัท ไทรทัน โฮลดิ้ง จำกัด (มหาชน),SET,PROPCON,CONS,
95,TRT,บริษัท ถิรไทย จำกัด (มหาชน),mai,RESOURC,-,
96,TRU,บริษัท ไทยรุ่งยูเนียนคาร์ จำกัด (มหาชน),SET,INDUS,AUTO,
97,TRUBB,บริษัท ไทยรับเบอร์ลาเท็คซ์กรุ๊ป จำกัด (มหาชน),SET,AGRO,AGRI,
98,TRUE,บริษัท ทรู คอร์ปอเรชั่น จำกัด (มหาชน),SET,TECH,ICT,
99,TRV,บริษัท ที.อาร์.วี. รับเบอร์ โปรดักส์ จำกัด (มหาชน),mai,INDUS,-,
0,TSC,บริษัท ไทยสตีลเคเบิล จำกัด (มหาชน),SET,INDUS,AUTO,
1,TSE,บริษัท ไทย โซล่าร์ เอ็นเนอร์ยี่ จำกัด (มหาชน),SET,RESOURC,ENERG,
2,TSF,บริษัท ทรีซิกตี้ไฟว์ จำกัด (มหาชน),mai,SERVICE,-,
3,TSI,บริษัท ไทยเศรษฐกิจประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR,
4,TSR,บริษัท เธียรสุรัตน์ จำกัด (มหาชน),SET,CONSUMP,HOME,
5,TSTE,บริษัท ไทยชูการ์ เทอร์มิเนิ้ล จำกัด (มหาชน),SET,SERVICE,TRANS,
6,TSTH,บริษัท ทาทา สตีล (ประเทศไทย) จำกัด (มหาชน),SET,INDUS,STEEL,
7,TTA,บริษัท โทรีเซนไทย เอเยนต์ซีส์ จำกัด (มหาชน),SET,SERVICE,TRANS,
8,TTB,ธนาคารทหารไทยธนชาต จำกัด (มหาชน),SET,FINCIAL,BANK,
9,TTCL,บริษัท ทีทีซีแอล จำกัด (มหาชน),SET,PROPCON,CONS,
10,TTI,บริษัท โรงงานผ้าไทย จำกัด (มหาชน),SET,CONSUMP,FASHION,
11,TTLPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ตลาดไท,SET,PROPCON,PF&REIT,
12,TTT,บริษัท โทเร เท็กซ์ไทล์ (ประเทศไทย) จำกัด (มหาชน),SET,CONSUMP,FASHION,
13,TTW,บริษัท ทีทีดับบลิว จำกัด (มหาชน),SET,RESOURC,ENERG,
14,TU,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),SET,AGRO,FOOD,
15,TU-PF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ ที ยู โดม เรสซิเดนท์เชียล คอมเพล็กซ์,SET,PROPCON,PF&REIT,
16,TVDH,บริษัท ทีวีดี โฮลดิ้งส์ จำกัด (มหาชน),mai,SERVICE,-,
17,TVI,บริษัท ประกันภัยไทยวิวัฒน์ จำกัด (มหาชน),SET,FINCIAL,INSUR,
18,TVO,บริษัท น้ำมันพืชไทย จำกัด (มหาชน),SET,AGRO,FOOD,
19,TVT,บริษัท ทีวี ธันเดอร์ จำกัด (มหาชน),mai,SERVICE,-,
20,TWP,บริษัท ไทยไวร์โพรดัคท์ จำกัด (มหาชน),SET,INDUS,STEEL,
21,TWPC,บริษัท ไทยวา จำกัด (มหาชน),SET,AGRO,AGRI,
22,TWZ,บริษัท ทีดับบลิวแซด คอร์ปอเรชั่น จำกัด (มหาชน),SET,TECH,ICT,
23,TYCN,บริษัทไทยคูน เวิลด์ไวด์ กรุ๊ป (ประเทศไทย) จำกัด (มหาชน),SET,INDUS,STEEL,
24,UAC,บริษัท ยูเอซี โกลบอล จำกัด (มหาชน),SET,INDUS,PETRO,
25,UBA,บริษัท ยูทิลิตี้ บิสิเนส อัลลายแอนซ์ จำกัด (มหาชน),mai,SERVICE,-,
26,UBE,บริษัท อุบล ไบโอ เอทานอล จำกัด (มหาชน),SET,RESOURC,ENERG,
27,UBIS,บริษัท ยูบิส (เอเชีย) จำกัด (มหาชน),mai,INDUS,-,
28,UEC,บริษัท ยูนิมิต เอนจิเนียริ่ง จำกัด (มหาชน),mai,INDUS,-,
29,UKEM,บริษัท ยูเนี่ยน ปิโตรเคมีคอล จำกัด (มหาชน),mai,INDUS,-,
30,UMI,บริษัท สหโมเสคอุตสาหกรรม จำกัด (มหาชน),SET,PROPCON,CONMAT,
31,UMS,บริษัท ยูนิค ไมนิ่ง เซอร์วิสเซส จำกัด (มหาชน),mai,RESOURC,-,
32,UNIQ,บริษัท ยูนิค เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด (มหาชน),SET,PROPCON,CONS,
33,UOBKH,บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน),SET,FINCIAL,FIN,
34,UP,บริษัท ยูเนี่ยนพลาสติก จำกัด (มหาชน),SET,INDUS,PETRO,
35,UPA,บริษัท ยูไนเต็ด เพาเวอร์ ออฟ เอเชีย จำกัด (มหาชน),mai,RESOURC,-,
36,UPF,บริษัท ยูเนี่ยนไพโอเนียร์ จำกัด (มหาชน),SET,CONSUMP,FASHION,
37,UPOIC,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),SET,AGRO,AGRI,
38,URBNPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์เออร์บานา,SET,PROPCON,PF&REIT,
39,UREKA,บริษัท ยูเรกา ดีไซน์ จำกัด (มหาชน),mai,INDUS,-,
40,UTP,บริษัท ยูไนเต็ด เปเปอร์ จำกัด (มหาชน),SET,INDUS,PAPER,
41,UV,บริษัท ยูนิเวนเจอร์ จำกัด (มหาชน),SET,PROPCON,PROP,
42,UVAN,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน),SET,AGRO,AGRI,
43,VARO,บริษัท วโรปกรณ์ จำกัด (มหาชน),SET,INDUS,IMM,
44,VCOM,บริษัท วินท์คอม เทคโนโลยี จำกัด (มหาชน),mai,TECH,-,
45,VGI,บริษัท วีจีไอ จำกัด (มหาชน),SET,SERVICE,MEDIA,
46,VIBHA,บริษัท โรงพยาบาลวิภาวดี จำกัด (มหาชน),SET,SERVICE,HELTH,
47,VIH,บริษัท ศรีวิชัยเวชวิวัฒน์ จำกัด (มหาชน),SET,SERVICE,HELTH,
48,VL,บริษัท วี.แอล.เอ็นเตอร์ไพรส์ จำกัด (มหาชน),mai,SERVICE,-,
49,VNG,บริษัท วนชัย กรุ๊ป จำกัด (มหาชน),SET,PROPCON,CONMAT,
50,VPO,บริษัท วิจิตรภัณฑ์ปาล์มออยล์ จำกัด (มหาชน),SET,AGRO,AGRI,
51,VRANDA,บริษัท วีรันดา รีสอร์ท จำกัด (มหาชน),SET,SERVICE,TOURISM,
52,W,บริษัท วาว แฟคเตอร์ จำกัด (มหาชน),SET,AGRO,FOOD,
53,WACOAL,บริษัท ไทยวาโก้ จำกัด (มหาชน),SET,CONSUMP,FASHION,
54,WARRIX,บริษัท วอริกซ์ สปอร์ต จำกัด (มหาชน),mai,CONSUMP,-,
55,WAVE,บริษัท เวฟ เอ็นเตอร์เทนเมนท์ จำกัด (มหาชน),SET,SERVICE,MEDIA,
56,WFX,บริษัท เวิลด์เฟล็กซ์ จำกัด (มหาชน),SET,CONSUMP,FASHION,
57,WGE,บริษัท เวล เกรด เอ็นจิเนียริ่ง จำกัด (มหาชน),SET,PROPCON,CONS,
58,WHA,บริษัท ดับบลิวเอชเอ คอร์ปอเรชั่น จำกัด (มหาชน),SET,PROPCON,PROP,
59,WHABT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าดับบลิวเอชเอ บิสซิเนส คอมเพล็กซ์,SET,PROPCON,PF&REIT,
60,WHAIR,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ดับบลิวเอชเอ อินดัสเตรียล,SET,PROPCON,PF&REIT,
61,WHART,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าดับบลิวเอชเอ พรีเมี่ยม โกรท,SET,PROPCON,PF&REIT,
62,WHAUP,บริษัท ดับบลิวเอชเอ ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน),SET,RESOURC,ENERG,
